"","period","nsampled","treatment","BA","DM","DO","DS","NA","OL","OT","PB","PE","PF","PH","PI","PL","PM","PP","RF","RM","RO","SF","SH","SO"
"86","86","8","control","0","21","10","1","0","2","3","0","1","0","0","0","0","2","0","0","1","0","0","0","0"
"87","87","8","control","0","23","5","1","0","7","1","0","3","0","0","0","0","1","0","0","0","0","0","0","0"
"88","88","8","control","0","16","10","1","0","7","3","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"89","89","8","control","0","19","7","3","0","2","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"90","90","8","control","0","23","7","5","2","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"91","91","8","control","0","24","7","4","6","2","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"92","92","8","control","0","23","7","2","5","2","1","0","0","0","0","0","0","0","3","0","0","0","0","0","0"
"93","93","8","control","0","28","8","4","2","3","5","0","1","0","0","0","0","0","4","0","1","0","0","0","0"
"94","94","8","control","0","27","11","6","5","6","9","0","3","0","0","0","0","0","2","0","0","0","0","0","0"
"95","95","8","control","0","33","8","8","3","3","5","0","5","0","0","0","0","0","0","0","1","0","0","0","0"
"96","96","8","control","0","31","7","6","2","3","4","0","2","0","0","0","0","0","0","0","3","0","0","0","0"
"97","97","8","control","0","24","9","9","4","4","3","0","3","0","0","0","0","0","1","0","1","0","0","0","0"
"98","98","8","control","0","24","5","8","3","4","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"99","99","8","control","0","20","3","8","6","1","2","0","4","0","0","0","0","1","1","0","1","0","0","0","0"
"100","100","8","control","0","20","6","2","5","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"101","101","8","control","0","25","7","5","5","1","1","0","1","0","0","0","0","0","1","0","0","0","0","0","0"
"102","102","8","control","0","19","2","6","4","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"103","103","8","control","0","19","3","5","4","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"104","104","8","control","0","16","4","5","3","3","3","0","2","0","0","0","0","0","1","0","0","0","0","0","0"
"105","105","8","control","0","21","8","5","0","6","2","0","0","0","0","0","0","3","0","0","3","0","0","0","0"
"106","106","8","control","0","19","5","4","2","4","1","0","0","0","0","0","0","3","0","0","3","0","0","0","0"
"107","107","8","control","0","21","4","6","6","4","1","0","4","0","0","0","0","0","0","0","6","0","0","0","0"
"108","108","8","control","0","21","8","6","1","8","0","0","2","0","0","0","0","1","0","0","3","0","0","0","0"
"109","109","8","control","0","19","6","7","4","4","2","0","3","0","0","0","0","3","2","0","2","0","0","0","0"
"110","110","8","control","0","17","7","8","6","3","0","0","5","0","0","0","0","2","2","0","0","0","0","0","0"
"111","111","8","control","0","18","7","7","5","6","1","0","3","0","0","0","0","3","1","0","1","0","0","0","0"
"112","112","8","control","0","26","8","9","3","3","0","0","3","0","0","0","0","1","1","0","2","0","0","0","0"
"113","113","8","control","0","25","9","5","6","3","0","0","6","0","0","0","0","1","1","0","2","0","0","1","0"
"114","114","8","control","0","18","8","4","6","5","3","0","3","0","0","0","0","1","1","0","2","0","0","0","0"
"115","115","8","control","0","17","7","5","8","2","7","0","1","0","0","0","0","2","4","0","1","0","0","0","0"
"116","116","8","control","0","18","6","4","5","3","2","0","8","1","0","0","0","1","1","0","3","0","0","2","0"
"117","117","8","control","0","25","7","3","5","5","2","0","13","1","0","0","0","1","0","0","9","0","0","0","0"
"118","118","8","control","0","22","10","3","3","2","1","0","8","0","0","0","0","1","0","0","7","0","0","1","0"
"119","119","8","control","0","28","11","3","3","3","3","0","4","0","0","0","0","0","0","0","4","0","0","1","0"
"120","120","8","control","0","33","13","3","3","3","1","0","2","0","0","0","0","0","1","0","6","0","0","0","0"
"121","121","8","control","0","17","10","6","4","5","4","0","2","1","0","0","0","0","1","0","1","0","0","1","0"
"122","122","8","control","0","19","11","4","3","0","2","0","3","0","0","0","0","0","1","0","0","0","0","1","0"
"123","123","8","control","0","21","9","4","5","4","1","0","5","0","0","0","0","0","1","0","0","0","0","1","0"
"124","124","8","control","0","18","8","4","5","0","4","0","1","0","0","0","0","0","1","0","1","0","0","1","0"
"125","125","8","control","0","19","10","4","4","2","3","0","6","0","0","0","0","0","2","0","1","0","0","0","0"
"126","126","8","control","0","15","4","2","3","0","3","0","1","0","0","0","0","0","2","0","0","0","0","1","0"
"127","127","8","control","0","24","5","3","2","0","3","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"128","128","8","control","0","21","4","4","1","4","6","0","7","0","1","0","0","0","0","0","2","0","0","2","0"
"129","129","8","control","0","22","6","4","2","3","2","0","5","0","0","0","0","0","0","2","10","0","0","1","0"
"130","130","8","control","0","22","3","3","2","5","4","0","7","0","0","0","0","0","0","1","9","0","0","3","0"
"131","131","8","control","0","22","8","3","1","7","3","0","8","0","0","0","0","0","0","1","16","0","0","2","0"
"132","132","8","control","0","16","4","5","4","5","0","0","5","0","0","0","0","2","0","0","14","0","0","3","0"
"133","133","8","control","0","18","4","4","3","3","1","0","3","0","0","0","0","0","1","1","8","0","0","2","0"
"134","134","8","control","0","22","5","3","4","2","1","0","1","0","0","0","0","0","0","0","3","0","0","2","0"
"135","135","8","control","0","21","4","3","3","0","0","0","3","0","0","0","0","0","0","1","5","0","0","1","0"
"136","136","8","control","0","17","4","3","4","1","2","0","1","0","0","0","0","0","1","2","2","0","0","2","0"
"137","137","8","control","0","24","6","2","2","0","5","0","2","0","0","0","0","0","1","1","2","0","0","0","0"
"138","138","8","control","0","16","8","1","1","1","4","0","1","0","0","0","0","0","2","0","0","0","0","0","0"
"139","139","8","control","0","22","7","2","2","1","4","0","5","1","0","0","0","0","1","0","1","0","0","2","0"
"140","140","8","control","0","20","10","2","2","5","7","0","5","1","1","0","0","0","2","1","4","0","1","1","0"
"141","141","8","control","0","25","13","2","1","0","3","0","5","0","1","0","0","0","0","1","12","0","2","0","0"
"142","142","8","control","0","21","12","2","1","0","4","0","2","0","0","0","0","0","0","0","3","0","3","0","0"
"143","143","8","control","0","25","10","1","1","0","2","0","1","0","1","0","0","0","0","0","3","0","1","0","0"
"144","144","8","control","0","27","13","1","3","1","2","0","1","0","1","0","0","0","0","0","5","0","3","0","0"
"145","145","8","control","0","30","14","2","1","1","3","0","2","0","1","0","0","0","0","0","6","0","2","1","0"
